Account:123, status 学生 , login succeeded,time 2019-06-13 08:58:26 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 15:20:23 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 15:26:52 
<<<<<<< HEAD
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 16:29:00 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 16:47:10 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 16:48:03 
=======
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 16:42:13 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-16 16:42:58 
<<<<<<< HEAD
>>>>>>> 7fc02160f12677c5074d46a8420b377c43dbf953
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 16:49:57 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 18:07:24 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:03:47 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:05:58 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:07:24 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:09:55 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:13:29 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:49:10 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:53:15 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:57:08 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:59:51 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:02:03 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:29:58 
